,tensione,count_rate
0,-353,0.4
1,-252,0.95
2,-204,1.45
3,-150,3.1
4,-130,3.6333333333333333
5,-120,3.8333333333333335
6,-110,4.2
7,-100,5.116666666666666
8,-90,5.65
9,-80,5.916666666666667
10,-70,6.266666666666667
11,-60,7.516666666666667
12,-50,9.316666666666666
13,-40,10.166666666666666
